SOC,Data_Point,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
0.01,75556.5,83271.48561072555,3597.249019769884,7.998458520179372,10.0,-0.00014037663960670676,3.2436691537967177,0.01614662551886316,1.9873356739916492,0.06782504830276888,6.892066738123221,9.404378977098385e-05,0.0,0.0,0.0,0.0
0.02,75556.5,83270.82755762167,337.94405496695106,7.0,10.0,-0.00017202446158503143,3.1290344805784627,0.02175212711867593,1.9817676377190279,0.0876966492575797,6.877412776056145,-0.001215683949314399,0.0,0.0,0.0,0.0
0.03,75530.55244755244,83244.62379350071,339.2773480047377,6.986013986013986,10.0,-0.007178027313072365,3.26170414977974,0.03160417076390962,1.9716276917619697,0.1231816003845822,6.848959488429045,-0.0005701139672672363,0.0,0.0,0.0,0.0
0.04,75582.44755244756,83297.02879833721,336.60823857964033,7.013986013986014,10.0,0.0068139683950197445,3.3464459305876617,0.0419228597664938,1.9618757249590633,0.16091652354929203,6.8200875505472025,-0.0003286611992569471,0.0,0.0,0.0,0.0
0.05,75556.5,83270.84856715285,337.9650645266012,7.0,10.0,-0.00016695890628116232,3.3896163668431027,0.05177933269257365,1.9517354588706348,0.19733775996540806,6.789248523034325,-0.0003063476411420786,0.0,0.0,0.0,0.0
0.06,75556.5,83270.87804436959,337.9945416967293,7.0,10.0,-0.00018089212162393918,3.4146341673085385,0.06173992175678269,1.9417799594341616,0.23423465651558623,6.7583683552934275,-0.00021139005376669598,0.0,0.0,0.0,0.0
0.07,75556.5,83270.88480510745,338.0013024304926,7.0,10.0,-0.00015568567646874322,3.431763337718116,0.07176413782104406,1.9317553502199065,0.2714075403094335,6.726900768757037,-0.00013637344823615017,0.0,0.0,0.0,0.0
0.08,75556.5,83270.88420192395,338.00069925888164,7.0,10.0,-0.00017835556621282873,3.4447009613816166,0.08178940752823015,1.9217253021134346,0.3086266839230386,6.695161463766738,-9.202292945496672e-05,0.0,0.0,0.0,0.0
0.09,75556.5,83270.85758371228,337.9740810498232,7.0,10.0,-0.0001631580607991823,3.455367276366328,0.09174351715177803,1.9117600583110266,0.34562785410248953,6.663440681087948,-6.325252467486024e-05,0.0,0.0,0.0,0.0
0.1,75556.5,83270.82036934636,337.93686668555716,7.0,10.0,-0.00015943083498213027,3.465718385246065,0.10176262193579369,1.9017281006024531,0.38292034219808774,6.6313516213412775,-9.498045771276035e-05,0.0,0.0,0.0,0.0
0.11,75558.0848846902,83272.02706465052,3570.853928552973,7.99041400388997,9.50187552097805,-1.6718241664296092e-06,3.4743417547821633,0.11607078434396656,1.8935127661260165,0.4362684873419829,6.604928329463065,-6.595035887646915e-07,0.0,0.0,0.0,0.0
0.12,75557.5,83270.81892763474,337.93781231587514,7.0,10.0,-0.00019228416429439062,3.4711168148148226,0.12170047018638919,1.88178161041704,0.4572076942607994,6.567239446993677,0.00013765866539652564,0.0,0.0,0.0,0.0
0.13,75557.5,83270.79393415466,337.9128188372658,7.0,10.0,-0.00015818244881100126,3.4830926209688187,0.13172807544929765,1.8717459226815276,0.4946458735488996,6.53490798287534,1.44907066391574e-05,0.0,0.0,0.0,0.0
0.14,75476.60839160839,83189.05231149097,339.0931524449828,6.986013986013986,9.993006993006993,-0.007169222915089214,3.491739406452312,0.14086936545622186,1.8608748422527892,0.5289252155507355,6.499895207721208,-1.0459443779785993e-05,0.0,0.0,0.0,0.0
0.15,75557.5,83270.78492459145,337.90380929241957,7.0,10.0,-0.00016695806677912323,3.5042091137926343,0.15170732844043425,1.8517573423241265,0.5695743147680703,6.470208483323351,-1.8494922418104694e-05,0.0,0.0,0.0,0.0
